基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
野村亞太新興債券,前收累積,新臺幣,90,42519049A,A9,140085,X,●,WMF003221,V,A11068,●,A32124,X,X,NOM086,178,●,A080045A,X,●,●,●,FD07054,X,32064,X,X,X
野村亞太新興債券,前收累積,美元,92,42519049C,B2,140087,X,●,WMF003223,V,A11070,●,A32126,X,X,NOM088,180,●,A080045C,X,●,●,●,FD07056,X,32066,X,X,X
野村亞太新興債券,前收累積,人民幣,94,42519049E,B4,140089,X,●,WMF003225,V,A11072,●,A32128,X,X,NOM090,182,●,A080045E,X,●,●,●,FD07058,X,32068,X,X,X
野村亞太新興債券,前收月配,新臺幣,91,42519049B,B1,140086,X,●,WMF003222,V,A11069,●,A32125,X,X,NOM087,179,●,A080045B,X,●,●,●,FD07055,X,32065,X,X,X
野村亞太新興債券,前收月配,美元,93,42519049D,B3,140088,X,●,WMF003224,V,A11071,●,A32127,X,X,NOM089,181,●,A080045D,X,●,●,●,FD07057,X,32067,X,X,X
野村亞太新興債券,前收月配,人民幣,95,42519049F,B5,140090,X,●,WMF003226,V,A11073,●,A32129,X,X,NOM091,183,●,A080045F,X,●,●,●,FD07059,X,32069,X,X,X
野村亞太新興債券,後收累積,新臺幣,138,42519049G,●,●,X,●,●,V,●,●,●,X,X,●,10217,●,●,X,●,●,●,FD65006,X,●,X,X,X
野村亞太新興債券,後收月配,新臺幣,137,42519049H,●,●,X,●,●,V,●,●,●,X,X,●,10218,●,●,X,●,●,●,FD65007,X,●,X,X,X
野村亞太新興債券,後收月配,美元,136,42519049I,●,●,X,●,●,V,●,●,●,X,X,●,10219,●,●,X,●,●,●,FD65020,X,●,X,X,X
野村亞太新興債券,後收月配,人民幣,135,●,●,●,X,●,●,V,●,●,●,X,X,●,10220,●,●,X,●,●,●,FD65021,X,●,X,X,X
野村全球金融收益,前收累積,新臺幣,111,72961391A,X,140111,●,●,WMF003405,V,A11089,●,A32147,X,X,NOM104,10207,●,A080049A,X,●,DM120084 (信託平台),A32088,FD07079,X,32079,X,X,X
野村全球金融收益,前收累積,美元,113,72961391D,X,140109,●,●,WMF003407,V,A11091,●,A32150,X,X,NOM106,10209,●,A080049D,X,●,DM120086 (信託平台),A32090,FD07081,X,32081,X,X,X
野村全球金融收益,前收累積,人民幣,115,72961391F,X,140108,●,●,WMF003409,V,A11093,●,A32152,X,X,NOM108,10211,●,A080049F,X,●,DM120088 (信託平台),A32092,FD07083,X,32083,X,X,X
野村全球金融收益,前收月配,新臺幣,112,72961391B,X,140110,●,●,WMF003406,V,A11090,●,A32148,X,X,NOM105,10208,●,A080049B,X,●,DM120085 (信託平台),A32089,FD07080,X,32080,X,X,X
野村全球金融收益,前收月配,美元,114,72961391E,X,140107,●,●,WMF003408,V,A11092,●,A32151,X,X,NOM107,10210,●,A080049E,X,●,DM120087 (信託平台),A32091,FD07082,X,32082,X,X,X
野村全球金融收益,前收月配,人民幣,116,72961391G,X,140106,●,●,WMF003410,V,A11094,●,A32153,X,X,NOM109,10212,●,A080049G,X,●,DM120089 (信託平台),A32093,FD07084,X,32084,X,X,X
野村全球金融收益,後收累積,新臺幣,130,72961391H,X,42N011,●,●,WMF004075,V,●,●,●,X,X,●,10213,●,A08B005H,X,●,DM620017 (信託平台),●,FD65004,X,●,X,X,X
野村全球金融收益,後收累積,美元,129,72961391L,X,42N013,●,●,WMF004306,V,●,●,●,X,X,●,10235,●,A08B005L,X,●,DM620021 (信託平台),●,FD65017,X,●,X,X,X
野村全球金融收益,後收月配,新臺幣,128,72961391I,X,42N012,●,●,WMF004076,V,●,●,●,X,X,●,10214,●,A08B005I,X,●,DM620018 (信託平台),●,FD65005,X,●,X,X,X
野村全球金融收益,後收月配,美元,127,72961391J,X,42N014,●,●,WMF004077,V,●,●,●,X,X,●,10215,●,A08B005J,X,●,DM620019 (信託平台),●,FD65018,X,●,X,X,X
野村全球金融收益,後收月配,人民幣,126,●,X,42N015,●,●,WMF004078,V,●,●,●,X,X,●,10216,●,A08B005K,X,●,DM620020 (信託平台),●,FD65019,X,●,X,X,X
野村特別時機非投資等級債券,前收累積,新臺幣,117,88181364A,●,140099,X,●,●,X,●,X,A32231,X,X,NOM117,10239,●,A080050A,X,●,DM120091 (信託平台),A32096,FD07087,X,32085,X,X,X
野村特別時機非投資等級債券,前收累積,美元,119,88181364E,●,140101,X,●,●,X,●,X,A32233,X,X,NOM119,10241,●,A080050E,X,●,DM120093 (信託平台),A32098,FD07089,X,32087,X,X,X
野村特別時機非投資等級債券,前收累積,人民幣,121,88181364I,●,140103,X,●,●,X,●,X,A32235,X,X,NOM121,10243,●,A080050I,X,●,DM120095 (信託平台),A32100,FD07091,X,32089,X,X,X
野村特別時機非投資等級債券,前收月配,新臺幣,118,88181364B,●,140100,X,●,●,X,●,X,A32232,X,X,NOM118,10240,●,A080050B,X,●,DM120092 (信託平台),A32097,FD07088,X,32086,X,X,X
野村特別時機非投資等級債券,前收月配,美元,120,88181364F,●,140102,X,●,●,X,●,X,A32234,X,X,NOM120,10242,●,A080050F,X,●,DM120094 (信託平台),A32099,FD07090,X,32088,X,X,X
野村特別時機非投資等級債券,前收月配,人民幣,122,88181364J,●,140104,X,●,●,X,●,X,A32236,X,X,NOM122,10244,●,A080050J,X,●,DM120096 (信託平台),A32101,FD07092 ,X,32090,X,X,X
野村特別時機非投資等級債券,前收月配,澳幣,123,88181364L,●,140105,X,●,●,X,●,X,A32237,X,X,NOM123,10245,●,A080050L,X,●,DM120097 (信託平台),A32102,FD07093 ,X,32091,X,X,X
野村特別時機非投資等級債券,後收累積,新臺幣,143,88181364C,●,42N032,X,●,●,X,●,X,●,X,X,●,10246,●,A08B002C,X,●,DM620001 (信託平台),●,FD65010,X,●,X,X,X
野村特別時機非投資等級債券,後收累積,美元,145,88181364G,●,42N034,X,●,●,X,●,X,●,X,X,●,10248,●,A08B002G,X,●,DM620003 (信託平台),●,FD65025,X,●,X,X,X
野村特別時機非投資等級債券,後收月配,新臺幣,144,88181364D,●,42N033,X,●,●,X,●,X,●,X,X,●,10247,●,A08B002D,X,●,DM620002 (信託平台),●,FD65011,X,●,X,X,X
野村特別時機非投資等級債券,後收月配,美元,146,88181364H,●,42N035,X,●,●,X,●,X,●,X,X,●,10249,●,A08B002H,X,●,DM620004 (信託平台),●,FD65026,X,●,X,X,X
野村特別時機非投資等級債券,後收月配,人民幣,147,●,●,42N036,X,●,●,X,●,X,●,X,X,●,10250,●,A08B002K,X,●,DM620005 (信託平台),●,FD65027,X,●,X,X,X
野村特別時機非投資等級債券,後收月配,澳幣,148,●,●,42N037,X,●,●,X,●,X,●,X,X,●,10251,●,A08B002M,X,●,DM620006 (信託平台),●,FD65028,X,●,X,X,X
野村全球正向效應成長,前收累積,新臺幣,149,88187162A,X,140136,X,●,WMF004416,X,●,X,A32244,X,X,NOM125,10252,●,A080051A,X,●,DM120101 (信託平台),A32103,FD07094,X,32092,X,X,X
野村全球正向效應成長,前收累積,美元,151,88187162E,X,140138,X,●, WMF004420,X,●,X,A32246,X,X,NOM127,10256,●,A080051E,X,●,DM120103 (信託平台),A32105,FD07096,X,32094,X,X,X
野村全球正向效應成長,前收季配,新臺幣,150,88187162B,X,140137,X,●, WMF004417,X,●,X,A32245,X,X,NOM126,10253,●,A080051B,X,●,DM120102 (信託平台),A32104,FD07095,X,32093,X,X,X
野村全球正向效應成長,前收季配,美元,152,88187162F,X,140139,X,●,WMF004421,X,●,X,A32247,X,X,NOM128,10257,●,A080051F,X,●,DM120104 (信託平台),A32106,FD07097,X,32095,X,X,X
野村全球正向效應成長,後收累積,新臺幣,153,88187162C,X,42N023,X,●,WMF004418,X,●,X,●,X,X,●,10254,●,A08B004C,X,●,DM620022 (信託平台),●,FD65012,X,●,X,X,X
野村全球正向效應成長,後收累積,美元,155,88187162G,X,42N025,X,●, WMF004422,X,●,X,●,X,X,●,10258,●,A08B004G,X,●,DM620024 (信託平台),●,FD65029,X,●,X,X,X
野村全球正向效應成長,後收季配,新臺幣,154,88187162D,X,42N024,X,●,WMF004419,X,●,X,●,X,X,●,10255,●,A08B004D,X,●,DM620023 (信託平台),●,FD65013,X,●,X,X,X
野村全球正向效應成長,後收季配,美元,156,88187162H,X,42N026,X,●,WMF004423,X,●,X,●,X,X,●,10259,●,A08B004H,X,●,DM620025 (信託平台),●,FD65030,X,●,X,X,X
野村全球基礎建設大未來,前收累積,新臺幣,157,88263822A,X,140112,X,●,WMF004466,X,●,X,A32256,X,X,NOM129,10260,●,A080052A,X,●,DM120105 (信託平台),●,●,X,32103,X,X,X
野村全球基礎建設大未來,前收累積,美元,158,88263822D,X,140113,X,●,WMF004467,X,●,X,A32258,X,X,NOM130,10262,●,A080052D,X,●,DM120106 (信託平台),●,●,X,32104,X,X,X
野村全球基礎建設大未來,前收累積,人民幣,159,88263822F,X,140114,X,●,WMF004468,X,●,X,A32260,X,X,NOM131,10264,●,A080052F,X,●,DM120107 (信託平台),●,●,X,32105,X,X,X
野村全球基礎建設大未來,後收累積,新臺幣,160,88263822B,X,●,X,●,WMF004469,X,●,X,●,X,X,●,10261,●,A08B006B,X,●,DM620027 (信託平台),●,●,X,●,X,X,X
野村全球基礎建設大未來,後收累積,美元,161,88263822E,X,●,X,●,WMF004470,X,●,X,●,X,X,●,10263,●,A08B006E,X,●,DM620028 (信託平台),●,●,X,●,X,X,X
野村全球基礎建設大未來,後收累積,人民幣,162,●,X,●,X,●,WMF004471,X,●,X,●,X,X,●,10265,●,A08B006G,X,●,DM620029 (信託平台),●,●,X,●,X,X,X
野村環球時機多重資產,前收累積,新臺幣,●,88348189A,X,1140115,X,●,●,X,A11106,X,A32264,X,X,NOM133,10268,X,A080053A,X,●,●,X,FD07098 ,X,32106,X,X,X
野村環球時機多重資產,前收累積,美元,●,88348189F,X,1140117,X,●,●,X,A11108,X,A32266,X,X,NOM135,10270,X,A080053F,X,●,●,X,FD07100,X,32108,X,X,X
野村環球時機多重資產,前收月配,新臺幣,●,88348189B,X,1140116,X,●,●,X,A11107,X,A32265,X,X,NOM134,10269,X,A080053B,X,●,●,X,FD07099,X,32107,X,X,X
野村環球時機多重資產,前收月配,美元,●,88348189G,X,1140118,X,●,●,X,A11109,X,A32267,X,X,NOM136,10271,X,A080053G,X,●,●,X,FD07101,X,32109,X,X,X
野村環球時機多重資產,後收累積,新臺幣,●,88348189C,X,●,X,●,●,X,●,X,●,X,X,●,10272,X,A08B003C,X,●,●,X,FD65033,X,●,X,X,X
野村環球時機多重資產,後收累積,美元,●,88348189H,X,●,X,●,●,X,●,X,●,X,X,●,10274,X,A08B003H,X,●,●,X,FD65035,X,●,X,X,X
野村環球時機多重資產,後收月配,新臺幣,●,88348189D,X,●,X,●,●,X,●,X,●,X,X,●,10273,X,A08B003D,X,●,●,X,FD65034,X,●,X,X,X
野村環球時機多重資產,後收月配,美元,●,88348189I,X,●,X,●,●,X,●,X,●,X,X,●,10275,X,A08B003I,X,●,●,X,FD65036,X,●,X,X,X
野村策略轉機多重資產,前收累積,新臺幣,●,93100172A,X,●,X,●,WMF004753,X,●,X,A32273,X,X,NOM137,10276,X,●,X,●,●,X,●,X,32110,X,X,X
野村策略轉機多重資產,前收累積,美元,●,93100172F,X,●,X,●,WMF004757,X,●,X,A32275,X,X,NOM139,10278,X,●,X,●,●,X,●,X,32112,X,X,X
野村策略轉機多重資產,前收月配,新臺幣,●,93100172B,X,●,X,●,WMF004754,X,●,X,A32274,X,X,NOM138,10277,X,●,X,●,●,X,●,X,32111,X,X,X
野村策略轉機多重資產,前收月配,美元,●,93100172G,X,●,X,●,WMF004758,X,●,X,A32276,X,X,NOM140,10279,X,●,X,●,●,X,●,X,32113,X,X,X
野村策略轉機多重資產,前收月配,人民幣,●,93100172J,X,●,X,●,●,X,●,X,A32277,X,X,NOM141,10280,X,●,X,●,●,X,●,X,32114,X,X,X
野村策略轉機多重資產,後收累積,新臺幣,●,93100172C,X,●,X,●,WMF004755,X,●,X,●,X,X,●,10281,X,●,X,●,●,X,●,X,●,X,X,X
野村策略轉機多重資產,後收累積,美元,●,93100172H,X,●,X,●,WMF004759,X,●,X,●,X,X,●,10283,X,●,X,●,●,X,●,X,●,X,X,X
野村策略轉機多重資產,後收月配,新臺幣,●,93100172D,X,●,X,●,WMF004756,X,●,X,●,X,X,●,10282,X,●,X,●,●,X,●,X,●,X,X,X
野村策略轉機多重資產,後收月配,美元,●,93100172I,X,●,X,●,WMF004760,X,●,X,●,X,X,●,10284,X,●,X,●,●,X,●,X,●,X,X,X
野村策略轉機多重資產,後收月配,人民幣,●,●,X,●,X,●,●,X,●,X,●,X,X,●,10285,X,●,X,●,●,X,●,X,●,X,X,X
野村全球科技多重資產,前收累積,新臺幣,●,00505743A,X, 140119,X,●,WMF004911,X,●,X,A32289,X,X,NOM144,10286,X,A080055A,X,●,DM120117,X,●,X,32115,X,X,X
野村全球科技多重資產,前收累積,美元,●,00505743F,X, 140121,X,●,WMF004915,X,●,X,A32291,X,X,NOM146,10288,X,A080055F,X,●,DM120119,X,●,X,32117,X,X,X
野村全球科技多重資產,前收月配,新臺幣,●,00505743B,X, 140120,X,●,WMF004912,X,●,X,A32290,X,X,NOM145,10287,X,A080055B,X,●,DM120118,X,●,X,32116,X,X,X
野村全球科技多重資產,前收月配,美元,●,00505743G,X, 140122,X,●,WMF004916,X,●,X,A32292,X,X,NOM147,10289,X,A080055G,X,●,DM120120,X,●,X,32118,X,X,X
野村全球科技多重資產,前收月配,人民幣,●,00505743J,X, 140123,X,●,●,X,●,X,A32293,X,X,NOM148,10290,X,A080055J,X,●,DM120121,X,●,X,32119,X,X,X
野村全球科技多重資產,前收月配,日幣,●,00505743L,X, 140124,X,●,WMF004919,X,●,X,A32294,X,X,NOM149,●,X,A080055L,X,●,DM120122,X,●,X,32120,X,X,X
野村全球科技多重資產,後收累積,新臺幣,●,00505743C,X, 42N001,X,●,WMF004913,X,●,X,●,X,X,●,10291,X,A08B009C,X,●,DM620030,X,●,X,●,X,X,X
野村全球科技多重資產,後收累積,美元,●,00505743H,X, 42N003,X,●,WMF004917,X,●,X,●,X,X,●,10293,X,A08B009H,X,●,DM620032,X,●,X,●,X,X,X
野村全球科技多重資產,後收月配,新臺幣,●,00505743D,X, 42N002,X,●,WMF004914,X,●,X,●,X,X,●,10292,X,A08B009D,X,●,DM620031,X,●,X,●,X,X,X
野村全球科技多重資產,後收月配,美元,●,00505743I,X, 42N004,X,●,WMF004918,X,●,X,●,X,X,●,10294,X,A08B009I,X,●,DM620033,X,●,X,●,X,X,X
野村全球科技多重資產,後收月配,人民幣,●,00505743K,X, 42N005,X,●,●,X,●,X,●,X,X,●,10295,X,A08B009K,X,●,DM620034,X,●,X,●,X,X,X
野村全球科技多重資產,後收月配,日幣,●,00505743M,X, 42N006,X,●,WMF004920,X,●,X,●,X,X,●,●,X,A08B009M,X,●,DM620035,X,●,X,●,X,X,X
野村全天候組合,前收累積,新臺幣,●,00528529A,X, 140125,X,X,WMF004973,X,●,X,A32303,X,X,X,●,X,●,X,X,●,X,FD07108,X,●,X,X,X
野村全天候組合,前收月配,新臺幣,●,00528529B,X, 140126,X,X,WMF004974,X,●,X,A32304,X,X,X,●,X,●,X,X,●,X,FD07109,X,●,X,X,X
野村全天候組合,前收累積,美元,●,00528529F,X, 140127,X,X,WMF004977,X,●,X,A32308,X,X,X,●,X,●,X,X,●,X,FD07110,X,●,X,X,X
野村全天候組合,前收月配,美元,●,00528529G,X, 140128,X,X,WMF004978,X,●,X,A32309,X,X,X,●,X,●,X,X,●,X,FD07111,X,●,X,X,X
野村全天候組合,前收月配,南非幣,●,00528529J,X, 140129,X,X,●,X,●,X,A32312,X,X,X,●,X,●,X,X,●,X,FD07112,X,●,X,X,X
野村全天候組合,後收累積,新臺幣,●,00528529C,X, 42N007,X,X,WMF004975,X,●,X,●,X,X,X,●,X,●,X,X,●,X,FD65037,X,●,X,X,X
野村全天候組合,後收月配,新臺幣,●,00528529D,X, 42N008,X,X,WMF004976,X,●,X,●,X,X,X,●,X,●,X,X,●,X,FD65038,X,●,X,X,X
野村全天候組合,後收累積,美元,●,00528529H,X, 42N009,X,X,WMF004979,X,●,X,●,X,X,X,●,X,●,X,X,●,X,FD65039,X,●,X,X,X
野村全天候組合,後收月配,美元,●,00528529I,X, 42N010,X,X,WMF004980,X,●,X,●,X,X,X,●,X,●,X,X,●,X,FD65040,X,●,X,X,X
野村全天候環球債券,前收累積,新臺幣,●,00572257A,X, 140130,X,●,WMF005109,X,●,X,A32317,X,X,NOM151,1241,X,A080056A,X,X,●,X,FD07113,X,32121,X,X,X
野村全天候環球債券,前收月配,新臺幣,●,00572257B,X, 140131,X,●,WMF005110,X,●,X,A32318,X,X,NOM152,1242,X,A080056B,X,X,●,X,FD07114,X,32122,X,X,X
野村全天候環球債券,前收累積,美元,●,00572257F,X, 140132,X,●,WMF005113,X,●,X,A32321,X,X,NOM153,1245,X,A080056F,X,X,●,X,FD07115,X,32123,X,X,X
野村全天候環球債券,前收月配,美元,●,00572257G,X, 140133,X,●,WMF005114,X,●,X,A32322,X,X,NOM154,1246,X,A080056G,X,X,●,X,FD07116,X,32124,X,X,X
野村全天候環球債券,前收月配,日幣,●,00572257K,X, 140134,X,●,WMF005117,X,●,X,A32325,X,X,NOM155,●,X,A080056K,X,X,●,X,FD07117,X,32125,X,X,X
野村全天候環球債券,後收累積,新臺幣,●,00572257C,X, 42N016,X,●,WMF005111,X,●,X,●,X,X,●,1243,X,A08B010C ,X,X,●,X,FD065041,X,●,X,X,X
野村全天候環球債券,後收月配,新臺幣,●,00572257D,X, 42N017,X,●,WMF005112,X,●,X,●,X,X,●,1244,X,A08B010D,X,X,●,X,FD065042,X,●,X,X,X
野村全天候環球債券,後收累積,美元,●,00572257H,X, 42N018,X,●,WMF005115,X,●,X,●,X,X,●,1247,X,A08B010H,X,X,●,X,FD065043,X,●,X,X,X
野村全天候環球債券,後收月配,美元,●,00572257I,X, 42N019,X,●,WMF005116,X,●,X,●,X,X,●,1248,X,A08B010I,X,X,●,X,FD065044,X,●,X,X,X
野村全天候環球債券,後收月配,日幣,●,00572257L,X, 42N020,X,●,WMF005118,X,●,X,●,X,X,●,●,X,A08B010L,X,X,●,X,FD065045,X,●,X,X,X
野村臺灣創新科技50 ETF連結,前收累積,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村臺灣創新科技50 ETF連結,前收半年配,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村美國增長股票ETF組合,前收累積,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村美國增長股票ETF組合,前收月配,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村美國增長股票ETF組合,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村美國增長股票ETF組合,前收月配,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村美國增長股票ETF組合,後收月配,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村美國增長股票ETF組合,後收月配,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村混合資本公司債券私募,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村混合資本公司債券私募,前收月配,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村混合資本公司債券私募,後收月配,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
